اسم_الحضانة,رقم_التليفون_الأول,رقم_التليفون_الثاني,البريد_الإلكتروني,الوصف,الرسوم,المحافظة,المدينة,المنطقة,صورة_الحضانة,الموقع_GPS,العنوان,رابط_الصفحة,الدوام,النوع
Modern Garden preschool,790418745,962797615061,,حضانة تقدم منهج منتسوري باللغتين العربي والإنجليزي,,عمان,,تلاع العلي,,,شارع غازي عربيات – مقابل مسجد الزميلي,,7 صباحاً – 5 مساءً (الجمعة عطلة),منتسوري (عربي/إنجليزي)
Roshan nursery,,,,حضانة منتسوري دولية تقدم بيئة تعليمية متقدمة,,عمان,,البنيات,,,شارع عقيل السرحان,,,منتسوري – دولي (عربي/إنجليزي)
Takween Nursery,,,,حضانة تعتمد منهج منتسوري للتعليم المبكر,,عمان,,الجبيهة,,,طلوع الجاذبية,,,منتسوري (عربي/إنجليزي)
Platinum Academy Kindergarten,,,,حضانة منتسوري تقدم تعليمًا مبكرًا باللغتين,,عمان,,الصويفية,,,قرب زيت وزعتر – شارع الدعاء,,,منتسوري (عربي/إنجليزي)
حضانة أكاديمية الازدهار,,,,حضانة تقدم منهج منتسوري باللغة الإنجليزية,,عمان,,طبربور,,,خلف حلويات النجمة – عمارة رقم 5,,,منتسوري (إنجليزي)
حضانة الأطفال السعيدين,,,,حضانة وطنية تقدم تعليمًا مبكرًا باللغتين,,عمان,,مرج الحمام,,,دوار البرديني – جانب دنيا المشاوي,,,وطني (عربي/إنجليزي)
حضانة أفضل مكان لطفلك,790303443,,,,,اربد,,,,,,,,
حضانة كوخ الطفل,65639391,,,,,عمان,العبدلي,,,,1 شارع حيفا / حي جبل الحسين / العبدلي,,,
حضانة وروضة الاسنان اللبنيه ذ.م.م,5861488,,,,,عمان,اليوبيل,,,,3 شارع حسن العطار شارع البراء بن عازب خلف نادي السيارات,,,
مدارس النمو التربوى,780222238,795246217,,,,عمان,شمال عمان,,,,,,,
حضانة صقور العزة,796655818,,,,,عمان,شرق عمان,,,,آبو نصير ، شارع السعادة,,,
روان حمدى علي الهواري وشريكتها,796777350,,,,,عمان,شمال عمان,,,,إشارات البشيتيه,,,
هيثم خالد حمدان الريموني وشريكته,776180280,,,,,عمان,شرق عمان,,,,ابو قرام عماره رقم 1,,,
حضانة حدود القمر,795246544,,,,,اربد,,,,,,,,
سيرين عدنان محمد العز/حضانة سيدرا,796067535,,,,,اربد,,,,,,,,
حضانة بابا سنفور,787054530,,,,,اربد,,,,,,,,
حضانه رتاج,7103440,,,,,اربد,,الحي الجنوبي,,,بجانب المحكمه الشرعيه,,,
محمد يوسف ارشيد منسي,785725644,,,,,اربد,,الحي الجنوبي,,,بجانب مسجد عليا التل,,,
حضانة الفطاحلة النموذجية,777148052,,,,,اربد,,الحي الجنوبي,,,جنوب غرب دوار صحارى ب 300 متر,,,
حضانة بنات واولاد مبدعين/ حضانة اطفال,772287041,,,,,اربد,,الحي الجنوبي,,,غرب شارع اربد ايدون/ جنوب مدرسة تقارب,,,
حضانة سلفيا,796651770,,,,,اربد,,الحي الجنوبي,,,مسجد علياء التل-اربد مول-بجانب القرم للتصفح,,,
حضانة زهرة تشرين,798814680,,,,,اربد,,الحي الشرقي,,,باتجاه مركز القدس الطبي,,,
حضانة قصة نجاح,792121140,,,,,اربد,,الحي الشرقي,,,,,,
حضانة ماما رشا,785551773,,,,,اربد,,الحي الشرقي,,,,,,
حضانة بنت و ولد,798604165,,,,,اربد,,الحي الشرقي,,,شارع جرش/ قرب حديقة الزهراء,,,
حضانة بلوتو,781074376,,,,,اربد,,الحي الشرقي,,,شرق الملعب البلدي,,,
حضانة بندق وسكر,795507759,,,,,اربد,,الحي الشرقي,,,شرق مركز الامن الشرقي,,,
حضانة هتوف,772155888,,,,,اربد,,الحي الشرقي,,,غرب دوار الشهداء,,,
جمعية بسمة خير للاعاقات والايتام الخيريه,779818990,,,,,اربد,الكورة,,,,,,,
حضانة رغد النموذجيه,776174419,,,,,اربد,المزار الشمالي,,,,قرب الدفاع المدني,,,
حضانة وروضة الرؤيا الشامله الدوليه,777722258,,,,,اربد,,الملعب البلدي,,,ش عبد القادر الحسيني,,,
حضانة حبايبنا,790959613,,,,,اربد,النعيمه,,,,,,,
حضانة احلى عالم,776252046,,,,,اربد,ايدون,,,,الشارع الرئيسي,,,
حضانة سر التناغم,797770233,,,,,اربد,ايدون,,,,دوار اللوازم,,,
روضة و حضانة وجه الثلج السعيد,796946737,,,,,اربد,ايدون,,,,شرق دوار العيدات,,,
حضانة العبقري الصغير,772431780,,,,,اربد,ايدون,,,,قرب دوار النسيم,,,
حضانة وروضه زهرة المانوليا,799233569,,,,,اربد,ايدون,,,,مقابل مدرسة المنارة/ خلف اسواق الديريه,,,
هبه حسين علي جرادات / حضانة نيوتن النموذيه,772236988,,,,,اربد,بشرى,,,,,,,
حضانة الفارس,7242906,,,,,اربد,,,,,جنوب مبنى الضمان الاجتماعي باتجاه المحاكم الشرعيه,,,
حضانة كريستال,776708896,,,,,اربد,,حي النزهه,,,,,,
حضانة اشكال النموذجيه - محمود بادي العودات,772155227,,,,,اربد,,,,,خلف مستشفى اربد التخصصي,,,
حضانة طريق المستقبل,797021868,,,,,اربد,,,,,خلف مستشفى القواسمي,,,
اكاديمة ومدرسة وروضة الصفوة الدولية / اكاديمية اراء للتعلم,788404300,,,,اربد,سموع,,,,ش الرئيسي,,,,
شركة مدارس الجامعه الامريكيه للشرق الاوسط,,,,,اربد,,,,,شارع الجامعه / البوابه الشماليه,,,,
فايده كامل احمد العمري /حضانة اللافندر,796770210,,,,اربد,,,,,ش الثلاثين/غرب اسواق زمزم,,,,
حضانة عيون سيرين,792807674,,,,اربد,,ضاحية الحسين,,,قرب حديقة الاستقلال,,,,
حضانة دلع طفلك,785388328,,,,اربد,,,,,مقابل كلية بنات اربد,,,,
حضانة لحن الحياة,795664426,,,,عمان,جنوب عمان,,,,اسحاق بن حنين / عمان / الياسمين رقم البنايه 7,,,,
حضانة وروضة اليانا,790963914,,,,عمان,جنوب عمان,,,,اسكان التلفزيون / شارع قيس بن نشبة / 41,,,,
حضانة بذور الغد,789995605,,,,عمان,شرق عمان,,,,اسكان الجيش شارع عبدالقادر الزغول شارع النهضه باتجاه ابوعليا,,,,
حضانة الجنة الخضراء,776186618,,,,عمان,اليوبيل,,,,اسكان السلطة - ش. محمود حسن الرشايدة - 36,,,,
الشول وعبد الفتاح,797615061,,,,عمان,شمال عمان,,,,اسواق جمال خلف اشارة السيرك قرب مسجد زميلي,,,,
الشجره المباركه للتعليم والاستثمار,55555,,,,عمان,شمال عمان,,,,اشارة جبري مقابل السروات خلف مجمع بهجت سنتر,,,,
حضانه زي العسل,772073484,,,,اربد,,الأشرفية,,,حي حلان الشوك، 000,,,,
حضانة بيت نوبا,790241526,,,,عمان,جنوب عمان,,,,الأردن - عمان - ضاحية الياسمين,,,,
حضانه وسيم النموذيه,798457004,,,,عمان,جنوب عمان,,,,الاشرفية حي ام تينه,,,,
حضانه نيروخ النموذجية,785898213,,,,عمان,جنوب عمان,,,,الاشرفية شارع حسبان رقم المبنى 11,,,,
حضانة بيتنا للاطفال,795025820,,,,السلط,البقعان,,,,البقعان - خلف الدفاع المدني - قرب مسجد الحديدي,,,,
حضانة سلمى و زين,790910177,,,,السلط,البقيع,,,,,,,,
حضانة بريق النمارق,797094191,,,,السلط,السلالمالبلقاء,,,,السلالم/البقعان/بجانب مدرسة فاطمة الزهراء,,,,
حضانة الورود الملونه,778772727,,,,السلط,البحيرة,,,,البلقاء/ السلط/ البحيره/بجانب مدرسة السلط الحديثة,,,,
حضانة ازهار الفردوس,777005910,,,,السلط,البحيرة,,,,البلقاء السلط البحيره مقابل مسجد العطيات,,,,
حضانة ابتسامة الكراميش,790061412,,,,السلط,البقيع,,,,البلقاء السلط البقيع - بالقرب من المركز الصحي,,,,
حضانة حمزه وعمر,776977901,,,,السلط,السلالمالبلقاء,,,,السلالم/حي الامير راشد,,,,
حضانة الطفل الرغيد,796222926,,,,السلط,الصبيحي,,,,البلقاء السلط الصبيحي/مثلث الختوم,,,,
حضانة خمسه وستون 65,777774819,,,,السلط,السلط,,,,البلقاء / السلط /المدينة الرياضيه /قرب مدارس السلط الاهلية,,,,
حضانة براعم الصنوبر النموذجية,775600925,,,,السلط,المنشية,,,,البلقاء السلط المنشية - شارع سليمان الحديدي,,,,
حضانة علي بابا النموذيه,790794804,,,,السلط,السلط,,,,البلقاء السلط خلف المحافظة,,,,
حضانه خطاب وليان,777379434,,,,السلط,زي,,,,البلقاء السلط زي بجانب المركز الصحي,,,,
حضانة اشبال المستقبل,799224144,,,,السلط,ام النعاج,,,,البلقاء/الفحيص/ام النعاج,,,,
حضانة الخطوات الجميله,795705996,,,,السلط,عين الباشا,,,,البلقاء/عين الباشا/حي الزيتونه/مقابل مؤسسة التدريب المهني,,,,
حضانة روشان,,,,حضانة منتسوري دولية تقدم بيئة تعليمية متقدمة,,عمان,,البنيات,,,شارع عقيل السرحان,,,منتسوري – دولي (عربي/إنجليزي)
حضانة الارض السعيدة,0796082074,,,غير متوفر,غير متوفر,عمان,,طريق المطار حي الصحابة,,,طريق المطار، حي الصحابة، مقابل جامع الهدى.,غير متوفر,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة ليتل هاندز,0796787600,,littlehandsjo@yahoo.com,حضانة مونتيسوري.,غير متوفر,عمان,,شارع المطار ضاحية النخيل,,,شارع المطار، ضاحية النخيل، جانب مدرسة فاطمة الزهراء، شارع عبد الرحمن سالم العطار، فيلا رقم (4).,حضانة ليتل هاندز,07:15 صباحًا - 05:00 مساءً,مونتيسوري
روضة وحضانة آدم,0796877760 - 065925575,,info@adam-kids.com,حضانة لغات.,غير متوفر,عمان,,عبدون الشمالي,,,عبدون الشمالي، شارع علي سيدو الكردي، بناية 59.,روضة وحضانة آدم Adam Bilingual Kindergarten & Pre-School,07:00 صباحًا - 05:00 مساءً,لغات
حضانة كتاب وفرشاة,0776113322,,info@booknbrushpreschool.com,غير متوفر,غير متوفر,عمان,,عبدون,,,عبدون، شارع زهدي عصفور.,حضانة كتاب وفرشاة,08:00 صباحًا - 02:30 مساءً,غير متوفر
حضانة المتعلمون الصغار,0799809040,,little-learner@hotmail.com,غير متوفر,غير متوفر,عمان,,عبدون الشمالي,,,عبدون الشمالي، مقابل السفارة الباكستانية، شارع انوار الخطيب، فيلا رقم 12.,حضانة المتعلمون الصغار,07:30 صباحًا - 05:15 مساءً,غير متوفر
حضانة كيدزانيا سيتي,0798478918,,info@kidzaniacity.com,غير متوفر,غير متوفر,عمان,,عبدون,,,عبدون، شارع سمير رمانه.,حضانة كيدزانيا سيتي,07:30 صباحًا - 05:00 مساءً,غير متوفر
حضانة ربيب الثناء,065930030 - 0797071723,,info@raiseandpraisepreschool.com,حضانة مونتيسوري - لغات.,غير متوفر,عمان,,عبدون الجنوبي,,,عبدون الجنوبي.,حضانة ربيب الثناء,غير متوفر,المونتيسوري - لغات
حضانه النبلاء النموذجيه,0799759225,,ayat.santrisi@gmail.com,غير متوفر,غير متوفر,عمان,,عرجان,,,عرجان، قرب وزارة التنمية الاجتماعية.,حضانه النبلاء النموذجيه,07:00 صباحًا - 04:00 مساءً,غير متوفر
حضانة حضن الماما,064899044,,,غير متوفر,غير متوفر,عمان,,ماركا الشمالية حي الونانات,,,ماركا الشمالية، حي الونانات، مقابل مدرسة طلعة بن عبدالله.,حضانة حضن الماما,غير متوفر,غير متوفر
حضانة الأطفال السعيدين,0798008456,,Lama.16hamdan@hotmail.com,حضانة وطني.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، دوار البرديني، جانب دنيا المشاوي.,غير متوفر,07:00 صباحًا - 05:00 مساءً,وطني
EduKids,0799555848,,,حضانة منتسوري.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، دوار الجندي، طلوع السيفوي، أول دخلة شمال، فيلا رقم ١٤.,EduKids,07:00 صباحًا - 06:00 مساءً,منتسوري
حضانة خيوط الشمس,0797439491,,,حضانة مناهج تعليمية.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، دوار الجندي، بالقرب من الحاووز.,حضانة خيوط الشمس,07:00 صباحًا - 05:00 مساءً,مناهج تعليمية
حضانة النجوم المتلألئة,0790780016,,twinklestars.nursery@yahoo.com,حضانة منتسيوري - لغات.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، دوار الدلة، قرب مسجد التقوى.,حضانة النجوم المتلألئة,07:00 صباحًا - 05:00 مساءً,منتسيوري - لغات
حضانة مظلة الأمان,0798181466,,info.umbrella.jo@gmail.com,غير متوفر,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، شارع سالم سلامة غيث، فيلا رقم ١١.,حضانة مظلة الأمان,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة الخريج الصغير,0777573524 - 0798015603,,littleharvard6@gmail.com,حضانة منتسوري - لغات.,غير متوفر,عمان,,مرج الحمام أول ناعور,,,مرج الحمام، أول ناعور وتحديدا بمنطقة أم العريجات، بالقرب من أورلاندو مول، بالقرب من إسكان نويران.,حضانة الخريج الصغير,07:00 صباحًا - 05:30 مساءً,منتسوري - لغات
حضانة المشاركة المرحة,0798191552,,,حضانة منتسوري - لغات.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، شارع الأمير محمد، بعد مجمع لافاميليا بحوالي 200 متر.,حضانة المشاركة المرحة,07:00 صباحًا - 05:00 مساءً,منتسوري - لغات
Kidstoria,0796440053 - 0787772777,,info@kidstoriajo.com,حضانة لغات.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، شارع الأميرة هيا بنت حمزه.,Kidstoria Preschool & Kindergarten,08:00 صباحًا - 05:00 مساءً,لغات
حضانة جمعية سيدات مرج الحمام,065716563 - 0798583005,,,حضانة وطني.,غير متوفر,عمان,,مرج الحمام,,,مرج الحمام، الشارع الرئيسي دوار معبهرة، بجانب ملبوسات نهر العاصي.,غير متوفر,غير متوفر,وطني
حضانة من الالف الى الياء,0795051235,,info@a2zdaycare.net,حضانة وطني.,غير متوفر,عمان,,مرج الحمام إسكان عالية,,,مرج الحمام، إسكان عالية.,https://web.facebook.com/pg/A2ZchildDaycare,7 صباحًا - 5 مساءً,وطني
حضانة اشراقة الصباح النموذجية,0799260270,,,غير متوفر,غير متوفر,عمان,,نزال,,,نزال، شارع الدستور.,حضانة اشراقة الصباح النموذجية,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة جنة اللطف Kinder Heaven Preschool,0799727520,غير متوفر,Kinder.H.Preschool@outlook.com,لغات - منتسوري,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjubH4i4pjPAwlfAlk5vCS1AiS8VVVPAXcaiwpQhar2kF0rJUfxKMhWGuwilGnTO5rJV62YHDYgROKDrDkB_ORiLb5rGI4Bpa11rHssDMhqR_eHx8QfFqJGPsKW1x5fD_E5xZOqhyr40c1c/s320/13920656_630569567099802_5609062652419260217_n.jpg,,عمان / قرب اشارات السابع (الدوار السابع سابقا) / شارع ابراهيم قطان / مبنى22 / مقابل مؤسسة ادراك,حضانة جنة اللطف,07:30 صباحًا إلى 05:00 مساءً، الإجازة الأسبوعية: الجمعة,لغات - منتسوري
حضانة بصمات الصغار - Little Prints Preschool,0797500077,,غير متوفر,,غير متوفر,عمان,,الرابية,,,الرابية,رابط صفحة فيسبوك,07:00 صباحًا - 06:00 مساءً,مونتيسوري
حضانة نجم البحر Starfish Nursery,0770877799,,dima.nusseibeh66@gmail.com,,غير متوفر,عمان,,الرابية,,,شارع أنورين مسمار، مبنى 4,رابط صفحة فيسبوك,07:30 صباحًا - 05:30 مساءً,غير متوفر
حضانة الأطفال المبتسمون Smiley Kids Nursery,0795533403,,smileykidsjo@gmail.com,,غير متوفر,عمان,,الرابية,,,مقابل مطعم كلحه,رابط صفحة فيسبوك,07:30 صباحًا - 05:00 مساءً,مونتيسوري - لغات
حضانة نقطة عسل,0790448120,,غير متوفر,,غير متوفر,عمان,,الشميساني,,,حي العبدلي، شارع ابن الفارض، بناء رقم 11,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,مونتيسوري
حضانة ألق الشميساني,0796110074,,alaqalshmisani1975@gmail.com,,غير متوفر,عمان,,الشميساني,,,مقابل فندق عمّان الشام,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,غير متوفر
Cradle to Crayon Nursery,0795967626,,cradletocrayonn@gmail.com,,غير متوفر,عمان,,الشميساني,,,شارع أحمد عرابي، عمارة رقم 2، بجانب حديقة الطيور,رابط صفحة فيسبوك,07:15 صباحًا - 05:30 مساءً,غير متوفر
حضانة وروضه ادرس والعب Study Play Kindergarten and Nursery,065670660,0796105150,info@studyplaykg.com,,غير متوفر,عمان,,الشميساني,,,خلف فندق الماريوت، شارع حسين الجسر، عمارة رقم 44,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,مونتيسوري - لغات
حضانة قوس قزح النموذجية للأطفال,065605300,0779072988,غير متوفر,,غير متوفر,عمان,,الشميساني,,,الشميساني,رابط صفحة فيسبوك,07:00 صباحًا - 07:00 مساءً,مونتيسوري
حضانة الابتسامة الصغيرة Little smile preschool .co,0792949152,,غير متوفر,,غير متوفر,عمان,,الشميساني,,,خلف مدارس الوسام الذهبي,رابط صفحة فيسبوك,07:15 صباحًا - 04:00 مساءً,غير متوفر
حضانة بيتي الكبير My Big House Nursury & Day Care,0799947006,,غير متوفر,,غير متوفر,عمان,,الشميساني,,,خلف فندق الكمودور,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,مونتيسوري - لغات
حضانة زهور صغيرة Little Flowers Day Nursery,0792872827,,little.flowers.jo@gmail.com,,غير متوفر,عمان,,الشميساني,,,شارع الفيحاء، عمارة رقم 27,رابط صفحة فيسبوك,07:00 صباحًا - 07:00 مساءً,لغات
حضانة قمم الأشجار TreeTops Nursery,065621334,,غير متوفر,,غير متوفر,عمان,,الشميساني,,,شارع عبد الحميد كرامي، فيلا رقم 8,رابط صفحة فيسبوك,08:00 صباحًا - 04:00 مساءً,غير متوفر
حضانة الأرض الصغيرة Little Land Nursery & Preschool,0775661810,ittlelandjo@gmail.com,,غير متوفر,عمان,,الشميساني,,,شارع أبو الحسن الأشعري، عمارة رقم 15,رابط صفحة فيسبوك,07:30 صباحًا - 05:00 مساءً,لغات - مونتيسوري,
حضانة بيت بيوت,0798390380,baytbyoot.nursery@gmail.com,,غير متوفر,عمان,,الشميساني,,,شارع معروف الرصافي، خلف سوبر ماركت أبيلا الأهلي,رابط صفحة فيسبوك,07:00 صباحًا - 06:00 مساءً,لغات,
حضانة الخنفساء الصغيرة Ladybird Nursery,0795655189,nurseryladybird@gmail.com,,غير متوفر,عمان,,الشميساني,,,شارع يوسف بن تاشفين، مقابل الخطوط القطرية، بناية رقم 63,رابط صفحة فيسبوك,07:30 صباحًا - 05:00 مساءً,مونتيسوري - لغات,
حضانة الخطى الصغيرة Little Steps Nursery,0799584502,"0772112222, 0796066843",little_steps_amman@hotmail.com,,غير متوفر,عمان,,الشميساني,,,خلف الكابتال بنك، شارع حسين الجسر، بناية رقم 32,رابط صفحة فيسبوك,07:30 صباحًا - 03:30 مساءً,لغات
Platinum Academy Kindergarten - الحضانة البلاتينية,0797948648,,info@plac.cc,,غير متوفر,الصويفية,,,,,قرب زيت وزعتر، شارع الدعاء، فيلا رقم 7,رابط صفحة فيسبوك,07:00 صباحًا - 06:00 مساءً,مونتيسوري
حضانة ضوء القمر Moonlight Nursery,0792024484,,moon_light_nursery@hotmail.com,,غير متوفر,عمان,,الصويفية,,,شارع حسن بكر العزازي، خلف المدارس الأمريكية، فيلا رقم 14,رابط صفحة فيسبوك,07:30 صباحًا - 05:00 مساءً,غير متوفر
حضانة درب العلم Learning Trail Nursery,065816474,0790874313,Learningtrail21@gmail.com,,غير متوفر,عمان,,الصويفية,,,شارع الأميرة عالية بنت الحسين، رقم 53,رابط صفحة فيسبوك,08:30 صباحًا - 02:00 مساءً,مونتيسوري
كندر زون Kinder Zone,0799201773,,غير متوفر,,غير متوفر,عمان,,الصويفية,,,شارع نائب عمران المعايطة,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,وطني
حضانة أكاديمية رعاية الطفل Kids Care Academy,0655858377,0790738778,info@kidscare-academy.com,,غير متوفر,عمان,,الصويفية,,,الصويفية,رابط صفحة فيسبوك,08:00 صباحًا - 06:00 مساءً,مونتيسوري - لغات
حضانة عالم الانطلاقة Al-Intilaqa Preschool,0795577550,,niveen14789@hotmail.com,,غير متوفر,عمان,,الصويفية,,,خلف المدارس الأمريكية,رابط صفحة فيسبوك,غير متوفر,مونتيسوري
Kinder Zone (فرع آخر),0799201773,,غير متوفر,,غير متوفر,عمان,,الصويفية,,,شارع نائب عمران المعايطة,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,لغات
حضانة فرح النموذجية,0796918552,,غير متوفر,,غير متوفر,عمان,,العبدلي,,,قرب دوار الداخلية,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة الجيل القادم,065163070,"0788332366, 07883323355",غير متوفر,,غير متوفر,عمان,,المدينة الرياضية,,,دخلة مدارس الاتحاد,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,لغات
حضانة قصر الأطفال Kids Palace Nursery & Day Care,0792078020,,غير متوفر,,غير متوفر,عمان,,المدينة الرياضية,,,شارع ابن زريق، بناية 52,رابط صفحة فيسبوك,07:00 صباحًا - 05:00 مساءً,غير متوفر
جنة الحنان,0781203156,,غير متوفر,العمر: من 70 يوم إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,المقابلين,,,المقابلين، مقابل مدرسة الكرامة، بجانب مسجد الشلبي,حضانة جنة الحنان,07:00 صباحاً إلى 04:00 مساءً,غير متوفر
سمارت كيدز Smart kids nursery,0776107379,,غير متوفر,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,المقابلين,,,المقابلين، خلف أكاديمية الحفاظ، بجانب الحجامة النبوية، منزل رقم 16,حضانة سمارت كيدز,07:00 صباحاً إلى 05:00 مساءً,غير متوفر
جنة الأحلام النموذجية,0796100427,,غير متوفر,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,المقابلين,,,المقابلين، شارع ثابت بن الجدع، بجانب مطعم الساخن,حضانة جنة الأحلام النموذجية,07:00 صباحاً إلى 05:00 مساءً,غير متوفر
عصافير عمّان Ammani Birds Daycare,0796589699,,ammanibirds@gmail.com,العمر: من حديثي الولادة حتى 4.5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,الهاشمي الشمالي,,,الهاشمي الشمالي، خلف حلويات العنبتاوي، عمارة 6ب,حضانة عصافير عمّان,07:00 صباحاً إلى 05:00 مساءً,غير متوفر
أزهار بيسان,0796714142,,غير متوفر,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,الهاشمي الشمالي,,,الهاشمي الشمالي، مقابل القاضي مول، شارع أم الحكيم,حضانة أزهار بيسان,07:00 صباحاً إلى 05:00 مساءً,غير متوفر
نسائم الخير,0797052385,Aman.almsiru@gmail.com,العمر: من 70 يوم إلى 4 سنوات. اللغات: العربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,الهاشمي الشمالي,,,الهاشمي الشمالي، قرب معهد زين الشرف، بين مسجد البرايسة ومسجد أبو جسار,حضانة نسائم الخير,07:00 صباحاً إلى 05:00 مساءً,وطني,
رياحين الجنة,0781673181,,غير متوفر,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,الهاشمي الشمالي,,,الهاشمي الشمالي، شارع مدرسة باب الواد، بجانب مركز النور,حضانة رياحين الجنة,06:30 صباحاً إلى 05:00 مساءً,غير متوفر
جود وليان,0772505068,,غير متوفر,العمر: حتى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,الهاشمي الشمالي,,,الهاشمي الشمالي,حضانة جود وليان,غير متوفر,غير متوفر
